25,12,55,63,36,14,6,10,59,10,4,21,14,11,18,1
19,61,21,20,60,12,13,3,13,16,6,32,25,30,34,1
35,8,39,50,31,19,10,12,59,23,5,9,13,8,18,1
33,4,49,36,39,16,8,7,82,61,15,14,6,16,7,1
38,6,32,7,23,23,11,6,46,57,20,14,4,21,8,1
41,11,27,6,26,23,8,8,34,56,61,17,4,42,16,1
53,22,24,16,39,32,21,11,25,53,73,22,8,88,26,1
24,53,12,15,32,23,12,8,20,12,57,17,9,47,42,1
27,39,8,17,25,19,12,5,22,4,34,18,12,26,58,1
18,89,14,24,37,16,10,7,29,13,10,23,15,23,54,1
6,17,88,28,27,11,4,8,25,5,1,53,14,19,14,1
24,26,12,35,24,7,6,8,14,12,39,23,12,47,47,1
11,15,54,63,35,13,6,4,63,3,8,30,6,12,9,1
17,10,50,57,36,13,7,5,70,34,7,17,7,14,11,1
21,10,46,37,36,16,9,5,75,19,5,7,4,10,11,1
19,6,42,38,31,13,5,5,69,57,11,9,7,17,12,1
30,11,34,31,38,17,13,9,63,78,32,21,12,65,16,1
16,7,29,9,26,15,4,5,29,40,60,17,7,57,19,1
14,12,16,5,21,10,5,9,18,41,33,13,8,62,29,1
15,46,10,20,17,10,5,4,21,16,30,12,8,30,45,1
15,15,43,67,37,9,7,5,49,5,3,27,14,14,9,1
20,64,10,29,52,10,4,4,13,8,23,26,7,30,23,1
16,11,44,45,34,10,3,7,43,15,0,5,13,12,5,1
21,9,45,41,30,15,4,4,54,39,0,5,9,14,6,1
22,5,46,28,27,14,2,5,51,36,11,9,6,20,7,1
25,5,22,14,18,13,8,6,37,44,25,15,3,29,11,1
29,13,38,6,30,16,15,9,45,63,50,18,11,62,20,1
21,25,14,4,29,14,8,9,24,37,36,14,5,49,30,1
20,25,10,15,23,7,8,6,20,24,43,7,11,26,46,1
21,56,7,23,22,11,8,10,21,9,30,24,10,28,40,1
27,8,22,59,38,14,11,4,55,12,4,37,8,17,11,1
3,36,33,35,58,7,10,8,13,2,40,21,37,14,32,1
18,16,18,65,51,20,16,6,70,13,2,17,13,18,20,1
18,13,24,55,48,19,14,4,54,44,8,16,18,32,25,1
18,5,26,62,48,20,12,9,35,18,12,15,23,51,36,1
16,8,11,31,45,15,16,13,17,29,38,17,20,54,36,1
15,29,13,11,62,16,31,15,14,67,40,24,37,66,44,1
15,43,15,6,29,7,15,8,3,46,13,27,21,34,61,1
11,12,13,18,46,7,12,7,5,33,21,17,28,19,52,1
8,44,17,27,68,4,11,8,7,6,60,15,26,15,40,1
19,7,25,58,39,16,14,6,78,10,2,34,6,13,14,1
9,41,13,39,67,4,26,5,11,3,44,26,36,11,29,1
32,17,18,71,40,16,14,11,73,15,2,15,10,21,25,1
31,11,22,40,41,19,22,10,73,38,8,11,14,25,25,1
26,4,28,36,40,20,17,14,42,19,8,11,24,53,38,1
21,7,13,32,48,14,20,5,22,29,33,7,18,68,32,1
28,19,20,13,68,16,33,17,13,65,31,30,35,85,38,1
16,37,8,6,36,6,23,10,5,47,16,17,24,41,50,1
14,12,3,16,38,8,25,10,3,30,33,19,24,27,52,1
12,41,10,21,53,8,17,10,6,2,43,18,27,18,57,1
25,7,22,44,40,13,8,6,51,9,3,46,4,20,13,1
5,27,11,30,51,3,15,4,6,0,60,27,33,9,28,1
13,12,17,75,43,14,11,6,49,10,6,19,10,20,19,1
21,9,18,50,41,16,14,4,54,39,4,12,12,27,17,1
20,7,22,42,29,17,9,8,22,20,7,12,18,40,32,1
15,3,15,43,38,12,8,7,12,23,36,13,18,51,32,1
19,14,15,16,46,17,18,11,11,63,31,17,30,65,35,1
16,29,8,8,36,6,8,7,10,45,18,14,23,24,37,1
8,15,12,18,37,6,12,10,5,48,16,16,27,10,40,1
6,43,13,24,53,6,14,8,7,14,54,12,32,9,34,1
18,7,27,29,32,15,12,7,44,13,4,73,2,24,33,1
26,6,23,57,43,13,7,9,55,9,4,44,7,30,27,1
20,4,26,72,54,16,11,9,47,33,6,14,6,24,23,1
21,4,24,41,44,14,13,2,33,21,7,13,12,36,25,1
13,16,43,48,28,2,19,17,50,10,7,45,8,31,22,2
6,34,28,18,54,11,15,20,21,21,26,37,7,20,24,2
10,15,31,46,30,5,25,11,33,28,7,43,7,44,6,2
13,10,37,50,28,8,11,13,48,48,8,34,2,48,11,2
19,7,17,42,27,7,14,6,43,22,28,25,2,26,15,2
20,9,7,36,32,10,17,7,24,28,41,21,3,27,47,2
28,23,7,42,41,15,23,24,28,44,33,31,2,51,24,2
24,41,7,24,48,18,18,11,7,30,18,26,5,37,15,2
